data_type,n,algo,mean_time_ns,mean_char_cmp,runs
random,2000,msd_switch,329008.400,19244.500,10
random,2000,quick_std,681237.600,313659.800,10
random,2000,string_quick3,221137.400,37688.700,10
random,2100,merge_lcp,1913074.900,18874.600,10
random,2100,merge_std,1801820.700,28810.900,10
random,2100,msd_plain,572991.900,9724.400,10
random,2100,msd_switch,351350.200,20356.400,10
random,2100,quick_std,711529.100,329702.500,10
random,2100,string_quick3,233045.900,37706.400,10
random,2200,merge_lcp,1979279.200,20111.700,10
random,2200,merge_std,1891658.400,30517.300,10
random,2200,msd_plain,626466.800,10227.600,10
random,2200,msd_switch,374233.200,21569.800,10
random,2200,quick_std,744733.400,344242.800,10
random,2200,string_quick3,245895.700,40286.300,10
random,2300,merge_lcp,2076066.600,21140.100,10
random,2300,merge_std,1964108.500,32237.800,10
random,2300,msd_plain,646554.000,10751.000,10
random,2300,msd_switch,376787.600,22795.700,10
random,2300,quick_std,793962.400,363608.200,10
random,2300,string_quick3,268670.900,43435.200,10
random,2400,merge_lcp,2149774.900,22144.600,10
random,2400,merge_std,2076375.100,33936.100,10
random,2400,msd_plain,659900.000,11282.000,10
random,2400,msd_switch,394783.400,24142.200,10
random,2400,quick_std,807600.000,375773.300,10
random,2400,string_quick3,269799.700,44730.300,10
random,2500,merge_lcp,2246983.400,23126.100,10
random,2500,merge_std,2156287.500,35680.200,10
random,2500,msd_plain,695766.700,11811.200,10
random,2500,msd_switch,413841.900,25462.900,10
random,2500,quick_std,846504.200,393606.000,10
random,2500,string_quick3,287116.700,48049.500,10
random,2600,merge_lcp,2349249.800,24143.100,10
random,2600,merge_std,2263904.100,37418.900,10
random,2600,msd_plain,729362.400,12342.200,10
random,2600,msd_switch,435091.800,26506.900,10
random,2600,quick_std,892316.700,408248.500,10
random,2600,string_quick3,305037.600,49428.700,10
random,2700,merge_lcp,2420400.000,25122.100,10
random,2700,merge_std,2390050.000,39172.200,10
random,2700,msd_plain,759462.400,12877.000,10
random,2700,msd_switch,453208.300,27784.700,10
random,2700,quick_std,930629.100,424508.100,10
random,2700,string_quick3,319379.300,51312.300,10
random,2800,merge_lcp,2493254.200,26073.700,10
random,2800,merge_std,2479754.300,40913.500,10
random,2800,msd_plain,790687.600,13406.600,10
random,2800,msd_switch,468504.100,29114.100,10
random,2800,quick_std,966379.400,442078.600,10
random,2800,string_quick3,321670.900,54257.600,10
random,2900,merge_lcp,2610620.700,27075.400,10
random,2900,merge_std,2584499.800,42699.700,10
random,2900,msd_plain,824729.000,13956.400,10
random,2900,msd_switch,500966.500,30653.200,10
random,2900,quick_std,1021983.300,457525.400,10
random,2900,string_quick3,333033.300,54862.700,10
random,3000,merge_lcp,2747724.900,28062.200,10
random,3000,merge_std,2684279.200,44461.400,10
random,3000,msd_plain,880270.900,14508.200,10
random,3000,msd_switch,506899.900,31994.200,10
random,3000,quick_std,1032674.800,473093.300,10
random,3000,string_quick3,346995.900,57337.100,10
reverse,100,merge_lcp,57112.500,345.700,10
reverse,100,merge_std,54858.500,604.400,10
reverse,100,msd_plain,32358.200,485.800,10
reverse,100,msd_switch,16225.100,1000.900,10
reverse,100,quick_std,22554.200,14163.600,10
reverse,100,string_quick3,5924.900,1234.100,10
reverse,200,merge_lcp,121204.000,730.600,10
reverse,200,merge_std,120916.600,1326.000,10
reverse,200,msd_plain,56604.000,967.600,10
reverse,200,msd_switch,31045.800,2050.000,10
reverse,200,quick_std,44812.500,29012.000,10
reverse,200,string_quick3,12208.500,2976.600,10
reverse,300,merge_lcp,196000.000,1106.000,10
reverse,300,merge_std,181862.400,2044.200,10
reverse,300,msd_plain,88825.000,1452.600,10
reverse,300,msd_switch,46316.500,3068.100,10
reverse,300,quick_std,61550.100,39161.900,10
reverse,300,string_quick3,18370.800,4543.500,10
reverse,400,merge_lcp,266808.200,1490.600,10
reverse,400,merge_std,256729.300,2842.200,10
reverse,400,msd_plain,116795.900,1937.800,10
reverse,400,msd_switch,61695.900,4109.100,10
reverse,400,quick_std,88970.900,57734.000,10
reverse,400,string_quick3,25133.300,6349.200,10
reverse,500,merge_lcp,341137.300,1871.900,10
reverse,500,merge_std,335837.500,3740.800,10
reverse,500,msd_plain,145558.300,2418.200,10
reverse,500,msd_switch,77695.500,5139.300,10
reverse,500,quick_std,93612.500,58945.800,10
reverse,500,string_quick3,32704.200,8208.700,10
reverse,600,merge_lcp,421362.400,2246.300,10
reverse,600,merge_std,389899.900,4403.100,10
reverse,600,msd_plain,171958.400,2910.600,10
reverse,600,msd_switch,93445.800,6186.000,10
reverse,600,quick_std,123287.500,79819.800,10
reverse,600,string_quick3,37737.300,9966.200,10
reverse,700,merge_lcp,493266.800,2626.000,10
reverse,700,merge_std,469787.500,5255.500,10
reverse,700,msd_plain,205137.600,3394.600,10
reverse,700,msd_switch,107950.000,7198.000,10
reverse,700,quick_std,160345.800,101539.600,10
reverse,700,string_quick3,44337.700,11809.700,10
reverse,800,merge_lcp,572716.700,3008.300,10
reverse,800,merge_std,538541.700,6116.600,10
reverse,800,msd_plain,233612.600,3878.200,10
reverse,800,msd_switch,125879.200,8233.800,10
reverse,800,quick_std,179133.500,116356.500,10
reverse,800,string_quick3,50929.100,13683.700,10
reverse,900,merge_lcp,647466.800,3384.300,10
reverse,900,merge_std,609341.700,6999.600,10
reverse,900,msd_plain,260679.200,4365.400,10
reverse,900,msd_switch,139570.700,9260.700,10
reverse,900,quick_std,181858.100,116983.000,10
reverse,900,string_quick3,60179.100,15570.600,10
reverse,1000,merge_lcp,731025.200,3766.400,10
reverse,1000,merge_std,680745.900,8007.000,10
reverse,1000,msd_plain,285854.000,4852.400,10
reverse,1000,msd_switch,153966.700,10286.000,10
reverse,1000,quick_std,186083.400,119350.300,10
reverse,1000,string_quick3,64904.200,17457.600,10
reverse,1100,merge_lcp,829166.700,4141.300,10
reverse,1100,merge_std,753029.100,8726.200,10
reverse,1100,msd_plain,314841.900,5329.400,10
reverse,1100,msd_switch,168812.600,11277.600,10
reverse,1100,quick_std,211429.400,136319.500,10
reverse,1100,string_quick3,72987.500,19529.100,10
reverse,1200,merge_lcp,898687.300,4523.200,10
reverse,1200,merge_std,837104.200,9451.000,10
reverse,1200,msd_plain,342337.400,5817.200,10
reverse,1200,msd_switch,185400.300,12303.000,10
reverse,1200,quick_std,243670.600,160363.000,10
reverse,1200,string_quick3,78645.900,21535.700,10
reverse,1300,merge_lcp,988333.500,4900.100,10
reverse,1300,merge_std,910220.700,10336.000,10
reverse,1300,msd_plain,369658.600,6301.000,10
reverse,1300,msd_switch,199020.900,13317.800,10
reverse,1300,quick_std,280329.000,181092.200,10
reverse,1300,string_quick3,87066.400,23100.800,10
reverse,1400,merge_lcp,1056854.300,5283.500,10
reverse,1400,merge_std,983758.500,11180.500,10
reverse,1400,msd_plain,403604.100,6783.400,10
reverse,1400,msd_switch,219025.100,14348.400,10
