run,data_type,n,algo,time_ns,char_cmp
1,almost,2000,quick_std,539792,301296
1,almost,2000,merge_std,1370375,24243
1,almost,2000,merge_lcp,1403125,8992
1,almost,2000,string_quick3,165917,44422
1,almost,2000,msd_plain,583000,9624
1,almost,2000,msd_switch,313667,26645
1,random,2100,quick_std,729167,327369
1,random,2100,merge_std,1795375,28816
1,random,2100,merge_lcp,1881500,18903
1,random,2100,string_quick3,234917,35934
1,random,2100,msd_plain,559708,9780
1,random,2100,msd_switch,341084,20723
1,reverse,2100,quick_std,386709,252614
1,reverse,2100,merge_std,1559417,17819
1,reverse,2100,merge_lcp,1673875,7996
1,reverse,2100,string_quick3,141042,39558
1,reverse,2100,msd_plain,590042,10130
1,reverse,2100,msd_switch,316458,21541
1,almost,2100,quick_std,560417,314417
1,almost,2100,merge_std,1462542,25672
1,almost,2100,merge_lcp,1661208,9454
1,almost,2100,string_quick3,180667,49598
1,almost,2100,msd_plain,595667,10112
1,almost,2100,msd_switch,326959,28221
1,random,2200,quick_std,726292,340128
1,random,2200,merge_std,1849083,30539
1,random,2200,merge_lcp,1952334,20186
1,random,2200,string_quick3,244125,40175
1,random,2200,msd_plain,716667,10312
1,random,2200,msd_switch,358167,21581
1,reverse,2200,quick_std,420291,275910
1,reverse,2200,merge_std,1633209,18558
1,reverse,2200,merge_lcp,1726208,8372
1,reverse,2200,string_quick3,151625,40931
1,reverse,2200,msd_plain,624416,10602
1,reverse,2200,msd_switch,331500,22558
1,almost,2200,quick_std,584208,328648
1,almost,2200,merge_std,1637791,27382
1,almost,2200,merge_lcp,1690167,9876
1,almost,2200,string_quick3,166959,41810
1,almost,2200,msd_plain,629375,10606
1,almost,2200,msd_switch,344125,29392
1,random,2300,quick_std,772958,358375
1,random,2300,merge_std,2037125,32223
1,random,2300,merge_lcp,2084000,21165
1,random,2300,string_quick3,263250,44938
1,random,2300,msd_plain,625542,10814
1,random,2300,msd_switch,369292,22785
1,reverse,2300,quick_std,451417,296146
1,reverse,2300,merge_std,1680583,19286
1,reverse,2300,merge_lcp,1875834,8740
1,reverse,2300,string_quick3,155750,43962
1,reverse,2300,msd_plain,655834,11090
1,reverse,2300,msd_switch,345292,23548
1,almost,2300,quick_std,620833,353713
1,almost,2300,merge_std,1618334,28667
1,almost,2300,merge_lcp,1716875,10405
1,almost,2300,string_quick3,217083,57126
1,almost,2300,msd_plain,659084,11074
1,almost,2300,msd_switch,359500,30625
1,random,2400,quick_std,811000,377448
1,random,2400,merge_std,1994416,33973
1,random,2400,merge_lcp,2132125,22139
1,random,2400,string_quick3,272708,45164
1,random,2400,msd_plain,658958,11332
1,random,2400,msd_switch,389458,24113
1,reverse,2400,quick_std,490042,326056
1,reverse,2400,merge_std,1908916,20031
1,reverse,2400,merge_lcp,1948333,9130
1,reverse,2400,string_quick3,164750,47176
1,reverse,2400,msd_plain,672000,11586
1,reverse,2400,msd_switch,365250,24603
1,almost,2400,quick_std,649875,372273
1,almost,2400,merge_std,1716875,30733
1,almost,2400,merge_lcp,1909125,10941
1,almost,2400,string_quick3,221166,54350
1,almost,2400,msd_plain,696000,11572
1,almost,2400,msd_switch,378792,31823
1,random,2500,quick_std,844958,398497
1,random,2500,merge_std,2135417,35653
1,random,2500,merge_lcp,2287291,23136
1,random,2500,string_quick3,277958,46435
1,random,2500,msd_plain,722750,11900
1,random,2500,msd_switch,430292,25529
1,reverse,2500,quick_std,522541,347812
1,reverse,2500,merge_std,1848917,21036
1,reverse,2500,merge_lcp,2027834,9504
1,reverse,2500,string_quick3,173084,50622
1,reverse,2500,msd_plain,727417,12074
1,reverse,2500,msd_switch,378916,25661
1,almost,2500,quick_std,670250,380215
1,almost,2500,merge_std,1784041,31813
1,almost,2500,merge_lcp,1908875,11386
1,almost,2500,string_quick3,185167,49020
